Office,CensusPop,raceYear,weird,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,1982,1102,General,Tennessee,"737,963","Alexander, Lamar",Incumbent,"500,937","Tyree, Randy",Challenger,N/A,N/A,N/A,N/A,27,"237,026",R,0,59.57,40.43,
Governor,N/A,1982,1102,General,Texas,"1,463,316","Clements, William P.",Incumbent,"1,693,899","White, Mark",Challenger,N/A,N/A,N/A,N/A,"27,284","230,583",D,0,46.35,53.65,
Governor,N/A,1982,1102,General,Vermont,"93,111","Snelling, Richard A.",Incumbent,"74,394","Kunin, Madeline",Challenger,N/A,N/A,N/A,N/A,"1,746","18,717",R,0,55.59,44.41,
Governor,N/A,1982,1102,General,Wisconsin,"662,838","Kohler, Terry J.",Challenger,"896,812","Earl, Anthony S.",Challenger,N/A,N/A,N/A,N/A,"20,694","233,974",D,0,42.5,57.5,
Governor,N/A,1982,1102,General,Wyoming,"62,128","Morton, Warren A.",Challenger,"106,427","Herschler, Ed",Incumbent,N/A,N/A,N/A,N/A,N/A,"44,299",D,0,36.86,63.14,
Governor,N/A,1983,,General,Kentucky,"451,313","Bunning, Jim",Challenger,"556,505","Collins, Martha Layne",Challenger,N/A,N/A,N/A,N/A,"14,286","105,192",D,0,44.78,55.22,
Governor,N/A,1983,1022,Primary Election Final (no General Election held),Louisiana,"584,485","Treen, David Conner",Incumbent,"1,185,274","Edwards, Edwin W.",Challenger,N/A,N/A,N/A,N/A,"20,565","600,789",D,0,33.03,66.97,"In Louisiana, any candidate who receives a majority is elected.  Since Edwards received a majority of the vote, no run-off general election was required."
Governor,N/A,1983,,General,Mississippi,"288,764","Bramlett, Leon",Challenger,"409,209","Allain, William A.",Challenger,N/A,N/A,N/A,N/A,"44,764","120,445",D,0,41.37,58.63,
Governor,N/A,1984,1106,General,Arkansas,"328,378","Freeman, Woody",Challenger,"546,375","Clinton, William Jefferson",Incumbent,N/A,N/A,N/A,N/A,N/A,"217,997",D,0,37.54,62.46,
Governor,N/A,1984,1106,General,Delaware,"135,250","Castle, Michael N.",Challenger,"108,315","Quillen, William T.",Challenger,N/A,N/A,N/A,N/A,N/A,"26,935",R,0,55.53,44.47,
Governor,N/A,1984,1106,General,Indiana,"1,109,843","Orr, Robert D.",Incumbent,"1,002,164","Townsend, W. Wayne",Challenger,N/A,N/A,N/A,N/A,"14,272","107,679",R,0,52.55,47.45,
Governor,N/A,1984,1106,General,Missouri,"1,194,506","Ashcroft, John",Challenger,"913,700","Rothman, Kenneth J.",Challenger,N/A,N/A,N/A,N/A,4,"280,806",R,0,56.66,43.34,
Governor,N/A,1984,1106,General,Montana,"100,070","Goodover, Pat M.",Challenger,"266,578","Schwinden, Ted",Incumbent,N/A,N/A,N/A,N/A,"12,322","166,508",D,0,27.29,72.71,
Governor,N/A,1984,1106,General,North Carolina,"1,208,167","Martin, Jesse",Challenger,"1,011,209","Edmisten, Rufus",Challenger,N/A,N/A,N/A,N/A,"7,351","196,958",R,0,54.44,45.56,
Governor,N/A,1984,1106,General,North Dakota,"140,460","Olson, Allen I.",Challenger,"173,922","Sinner, George",Challenger,N/A,N/A,N/A,N/A,N/A,"33,462",D,0,44.68,55.32,
Governor,N/A,1984,1106,General,New Hampshire,"256,574","Sununu, John E.",Incumbent,"127,156","Spirou, Chris",Challenger,N/A,N/A,N/A,N/A,180,"129,418",R,0,66.86,33.14,
Governor,N/A,1984,1106,General,Rhode Island,"245,059","DiPrete, Edward",Challenger,"163,311","Solomon, Anthony J.",Challenger,N/A,N/A,N/A,N/A,5,"81,748",R,0,60.01,39.99,
Governor,N/A,1984,1106,General,Utah,"351,792","Bangerter, Norman H.",Challenger,"275,669","Owens, Wayne",Challenger,N/A,N/A,N/A,N/A,"2,158","76,123",R,0,56.07,43.93,
Governor,N/A,1984,1106,General,Vermont,"113,264","Easton, John J.",Challenger,"116,938","Kunin, Madeline",Challenger,N/A,N/A,N/A,N/A,"3,551","3,674",D,0,49.2,50.8,
Governor,N/A,1984,1106,General,Washington,"881,994","Spellman, John D.",Challenger,"1,006,993","Gardner, Booth",Challenger,N/A,N/A,N/A,N/A,N/A,"124,999",D,0,46.69,53.31,
Governor,N/A,1984,1106,General,West Virginia,"394,937","Moore, Arch A.",Challenger,"346,565","See, Clyde M",Challenger,N/A,N/A,N/A,N/A,N/A,"48,372",R,0,53.26,46.74,
Governor,N/A,1985,,General,New Jersey,"1,372,631","Kean, Thomas H.",Incumbent,"578,402","Shapiro, Peter",Challenger,N/A,N/A,N/A,N/A,"21,591","794,229",R,0,70.35,29.65,
Governor,N/A,1985,,General,Virginia,"404,715","Durrette, Wyatt B.",Challenger,"455,604","Baliles, Gerald L.",Challenger,N/A,N/A,N/A,N/A,93,"50,889",D,0,47.04,52.96,
Governor,N/A,1986,1104,General,Alaska,"76,515","Sturgulewski, Arliss",Challenger,"84,943","Cowper, Steve",Challenger,N/A,N/A,N/A,N/A,"18,097","8,428",D,0,47.39,52.61,
